id,question,answer,explanation
117,幕府が定めた、天皇や朝廷の仕事や役割などを定めた法を何というか。,禁中並公家諸法度,
118,家康や秀吉の時代に行われた、海外への渡航を許可した書状を持ったものが行う貿易を何というか。,朱印船貿易,
119,家康や秀吉の時代に作られた、海外渡航の許可状を何というか。,朱印状,
120,江戸時代、多くの商人らが東南アジア方面に進出し、現地で形成された日本人が多く暮らす町を何というか。,日本町,
121,１６１２年に出された、幕領内でのキリスト教を禁じる命令を何というか。,禁教令,
122,日本人の海外渡航の禁止とともに、国内のオランダ人が移された場所とはどこか。,出島,
123,鎖国後も日本への来航を認められたのは、オランダとどこか。,中国,
124,鎖国後も日本への来航を認められたのは、中国とどこか。,オランダ,
125,１６３７年に領主からの年貢の取り立てやキリスト教への迫害に対して発生した一揆を何というか。,島原・天草一揆/島原天草一揆,
126,島原・天草一揆の際に民衆の先頭に立ち戦った人物とは誰か。,天草四郎/益田時貞,
127,幕府がとった、禁教・貿易統制・海外往来の禁止・外交独占の政策を何というか。,鎖国,
128,幕府がキリスト教の信者かどうかを確かめるために取った方法を何というか。,絵踏,
129,幕府がキリスト教の信者かどうかを確かめる際に使われた道具とは何か。,踏絵,
130,幕府が民衆の信仰と所属する寺社などを確認し記録したものを何というか。,宗門改帳,
131,鎖国後の海外との窓口として朝鮮との窓口になったのはどこか。,対馬藩,
132,鎖国後、対馬藩が仲介役を果たした国とはどこか。,朝鮮,
133,鎖国後の海外との窓口として琉球王国との窓口になったのはどこか。,薩摩藩,
134,鎖国後、薩摩藩が窓口として対応した国はどこか。,琉球王国,
135,鎖国後の海外との窓口として、蝦夷地との窓口になったのはどこか。,松前藩,
136,鎖国後、松前藩が窓口として対応した地域はどこか。,蝦夷地,
137,海外の船が日本に来航する際に、入国と引き換えに提出を求められた情報書を何というか。,風説書,
138,日本に来日した中国の人々が居住する場所を何というか。,唐人屋敷,
139,１７世紀前半に、女真族によって作られた王朝とは何か。,清,
140,国交を回復した朝鮮から将軍の代替わりなどの際に祝いに訪れる使節を何というか。,朝鮮通信使,
141,日本から朝鮮へと使いを出した際に、日本からの使いが入国を認められる場所を何というか。,倭館,
142,海外との貿易の際に日本からの輸出品として重宝された、海産物などを俵に詰めたものを何というか。,俵物,
143,将軍の代替わりや国王の交代の際に日本を訪れる琉球王国の使いを何というか。,琉球使節,
144,松前藩が交易の相手とした民族は何か。,アイヌ民族,
145,元来は、歓迎の儀式だったものをアイヌの支配に利用したことがらを何というか答えなさい。,オムシャ,
146,１７世紀後半、不当な交易に対して蜂起したアイヌの酋長とは誰か。,シャクシャイン,
147,１７世紀後半、不当な交易に対したアイヌ民族の反乱を何というか。,シャクシャインの乱,
148,武士や町人と違い、村で自給自足に近い生活をする人々を何というか。,百姓,
149,城下町に住居を持ち、生活をする商人や職人らを何というか。,町人,
150,武士が半年に一度、米で支給される給与を何というか。,俸禄,
151,武士にのみ許される刀を所持することを何というか。,帯刀,
152,町人のうち、町の自治を行うような人々を何というか。,町役人,
153,町に暮らす人の大部分を占める、自分の家を持たず、家を借りて暮らす人々を何というか。,借家人,
154,幼いころから商家に住み込み働きながら仕事を覚える人を何というか。,奉公人,
155,農村に暮らし、自らの土地を持つ人を何というか。,本百姓,
156,農村に暮らし、自らの土地を持たず、土地を借りて農作業をする人を何というか。,水のみ百姓/小作人,
157,農村に暮らす人の中で、村の自治に関わる人を何というか。,村役人,
158,村の自治を行う上で全体を管理し、村役人に指示を出す幕府の役人を何というか。,郡代/代官,
159,町の自治を管理する幕府の役人を何というか。,町奉行,
160,江戸時代の寺子屋などの教育の場で女性の務めなどをまとめて書いた書物を何というか。,女大学,
161,村ごとに定められた年貢の割合として、全体の４割を年貢として納めることを何というか。,四公六民,
162,年貢の納入や一揆の画策防止など、連帯責任を負わすことで農民らに互いに監視させる仕組みを何というか。,五人組,
163,年貢の納入以外に、牛馬の解体や皮革業、牢屋番などの仕事を請け負った人々を何というか。,えた/穢多,
164,用水路の開発や海や沼地の干拓などで農地を増やす取り組みを何というか。,新田開発,
165,西日本の綿花畑などで多く使われた、イワシを原料とした肥料を何というか。,干鰯,
166,米の脱穀作業の効率化を図った農具を何というか。,千歯こき,
167,鉄製で、先端を板状から又状にして、より軽く深く耕作を行えるようにした農具を何というか。,備中ぐわ,
168,年貢の米以外に木綿や菜種などの貨幣を得るようの作物を何というか。,商品作物,
169,諸地域の産業として、木曽地域で有名になった樹木とは何か。,ひのき/檜,
170,諸地域の産業として、秋田周辺で有名になった樹木とは何か。,すぎ/杉,
171,漁網の改良などにより、漁獲量が増えるようになり、地引網での大規模なイワシ漁が行われるようになったのはどこか。,九十九里浜,
172,ニシンやコンブ漁が盛んに行われたのはどこか。,蝦夷地,
173,瀬戸内沿岸で生産された特産品とは何か。,塩,
174,江戸中期に鉱山開発と精錬技術の進歩により、全国に流通するようになった銅銭とは何か。,寛永通宝,
175,世界遺産にも指定された、中国地方にある銀山とは何か。,石見銀山,
176,１７世紀後半繁栄した、江戸・大阪・京都を合わせて何というか。,三都,
177,三都のうち、江戸は何と呼ばれたか,将軍のおひざもと/将軍のお膝元,
178,三都のうち、大阪は何と呼ばれたか,天下の台所,
179,各藩が、自国の年貢米や特産品を収蔵販売した場所を何というか。,蔵屋敷,
180,商人が、同業者で組合を作り、税を納めることで商売の独占を認められた集まりを何というか。,株仲間,
181,江戸を中心に各地に伸びる主要な５本の道を何というか。,五街道,
182,五街道のうち太平洋沿岸を京都に向けて伸びる道を何というか。,東海道,
183,五街道のうち信州中央高地を通り京都へ向かう道を何というか。,中山道,
184,五街道のうち江戸から日光東照宮に向け伸びる道を何というか。,日光街道/日光道中,
185,五街道のうち江戸から東北地方に向けて伸びる道を何というか。,奥州街道/奥州道中,
186,主要な街道の沿いに、宿泊できる宿などが集まっているところを何というか。,宿場町/宿場,
187,江戸時代に手紙や荷物を徒歩で運んだ運送業者を何というか。,飛脚,
188,海上運送に用いられた貨物用船舶を何というか。,菱垣廻船,
189,海上運送に用いられ、主にしょう油や酒などの運搬に用いられた船舶を何というか。,樽廻船,
190,江戸を出発し、東北地方を通過し、日本海側から下関を通過し大阪に戻る航路を何というか。,西廻り航路,
191,東北地方の日本海側から津軽海峡を通過し太平洋を南下して江戸に向かう航路を何というか。,東廻り航路,
192,浅草寺など寺社の前に商店が並び参詣する人々が集まるところを何というか。,門前町,
193,１７世紀中ごろ５代将軍に就任した人物は誰か。,徳川綱吉,
194,徳川綱吉が主従関係や年功を重視して推奨した学問とは何か。,朱子学,
195,徳川綱吉が、動物愛護のために発布した法とは何か。,生類憐みの令,
196,１８世紀に６代将軍、７代将軍に仕えて正徳の治をすすめた儒学者とは誰か。,新井白石,
197,新井白石が推し進めた政策を何というか。,正徳の治,
198,１７世紀中ごろから上方を中心に広まった文化を何というか。,元禄文化,
199,元禄文化は、主にどのような人々を中心に広まったか。,町人,
200,元々商人であったが、武士や町人の生活を基に浮世草子を著し多くの作品を残した人物は誰か。,井原西鶴,
201,井原西鶴などが著した、当時の武士や町人らの生活を描いた小説を何というか。,浮世草子,
202,『奥の細道』など全国を放浪しながら、俳句を詠みその芸術性を高めた人物は誰か。,松尾芭蕉,
203,元武士であったが、後に曾根崎心中など人形浄瑠璃などの脚本を書いた人物は誰か。,近松門左衛門,
204,庶民の演劇として発達し、坂田藤十郎や市川團十郎などの人気役者があらわれた芸能とは何か。,歌舞伎,
205,風神雷神図屛風などの装飾画を描いた画家は誰か。,俵屋宗達,
206,屏風絵だけではなく硯箱などにも装飾を施し、八橋蒔絵螺鈿硯箱などの作品を残した人物は誰か。,尾形光琳,
207,菱川師宣が、町人の風俗をなどを肉筆で描いて始まったとされている絵画を何というか。,浮世絵,
208,江戸の町で町人の風俗を描き、浮世絵の祖と呼ばれた人物は誰か。,菱川師宣,
209,菜種の油を用いて、灯りを作り夜間にも生活できるきっかけになった道具とは何か。,行灯,
210,水戸藩主の徳川光圀によって編纂された日本の歴史についてまとめた書物を何というか。,大日本史,
211,１８世紀にこれまでの将軍家が途絶え、紀州徳川家から選ばれた８代将軍とは誰か。,徳川吉宗,
212,徳川吉宗が進めた財政立て直しのために政治改革を何というか。,享保の改革,
213,大名の参勤交代に期間を定められた量の米を納めることで、１年から半年に短縮する仕組みを何というか。,上げ米の制,
214,有能な人材確保のため、個人に対して期間限定で石高を追加する仕組みを何というか。,足高の制,
215,８代将軍吉宗が政治を行う上で、民衆からの意見をくみ取ろうと設置したものとは何か。,目安箱,
216,８代将軍吉宗が裁判の基準の統一を図りまとめたものを何というか。,公事方御定書,
217,火事による被害が多かった江戸の町に設置されたものは何か。,町火消し,
218,１８世紀、問屋が百姓の家を回って、原料や道具、お金を貸して織物などを作らせて安く買いとる方法を何というか。,問屋制家内工業,
219,１９世紀、地主や商人が工場を建設し、人を雇って分業で製品を作らせる方法を何というか。,工場制手工業/マニュファクチュア,
220,自らの土地を手放し、地主などから土地を借りて、賃料を払って農業を行う人を何というか。,小作人,
221,百姓が、領主に年貢の軽減を訴えたり、不正を働く役人の交代を要求するために蜂起することを何というか。,百姓一揆,
222,都市部で、米の買い占めを行う商人らに対して、商店を襲うなどの行動にを何というか。,打ちこわし,
223,百姓一揆などを行う際に、一揆の中心人物が特定できないようにするために用いたものを何というか。,からかさ連判状,
224,１８世紀後半、農業中心から商工業中心の財政政策に切り替えた老中は誰か。,田沼意次,
225,年貢の増量を目指して、田沼意次が開拓させた場所とはどこか。,印旛沼,
226,田沼意次の失脚後に老中になり政治を行ったのは誰か。,松平定信,
227,松平定信が行った政治改革を何というか。,寛政の改革,
228,凶作やききんに備えて、各地に米を蓄えさせた政策を何というか。,囲い米,
229,幕府の学問所で朱子学以外に学問を禁止したことを何というか。,寛政異学の禁,
230,松平定信が行った旗本や御家人の借金を帳消しにする命令を何というか。,棄捐令,
231,松平定信が行った、町に出稼ぎに来ていた農民を農村に帰らせて農業に専念さる政策を何というか。,旧里帰農令,
232,松平定信が作った、ききんなどで農村に住めなくなった農民らに職業訓練を行う使節を何というか。,人足寄場,
233,幕府が幕臣の教育などのために湯島に作った幕府公認の学問所を何というか。,昌平坂学問所,
234,１８世紀末、漂流していた大黒屋光太夫らを日本に届けて通商を願い出たロシア使節は誰か。,ラクスマン,
235,１９世紀初め、長崎以外での通商ができないとして、長崎に来航したロシア人使節とは誰か。,レザノフ,
236,ロシアを警戒する幕府が、蝦夷地や樺太の調査を指示した密偵とは誰か。,間宮林蔵,
237,間宮林蔵が、幕府の命で調査した場所とは蝦夷地とどこか。,樺太/サハリン,
238,旗本や御家人の俸禄米をお金に変える業者を何というか。,札差,
239,財政難に苦しむ藩政を立て直すために、俸禄を削減するために藩独自に発行した紙幣を何というか。,藩札,
240,１７世紀後半、熊本藩で質素・倹約をすすめ、特産のはぜの販売を専売にすることで財政の立て直しに成功した藩主とは誰か。,細川重賢,
241,古典や歴史研究をすすめて、仏教や儒学が入る前の日本古来のものの考え方などを研究する学問を何というか。,国学,
242,国学の研究者で『古事記伝』などを著した人物は誰か。,本居宣長,
243,オランダ語で書かれた西洋の書物から西洋の学問や文化を学ぶ学問を何というか。,蘭学,
244,蘭学者で前野良沢とともにオランダの解剖書を翻訳し『解体新書』を出版した人物は誰か。,杉田玄白,
245,杉田玄白と前野良沢らによって出版されたオランダ語で書かれた解剖書の翻訳本の書名は何か。,解体新書,
246,１９世紀の初め、天文学を学び、全国の海岸線を記録して日本地図を作った人物は誰か。,伊能忠敬,
247,伊能忠敬が、天文学の研究をし日本の海岸線の計測を行って出来上がったものとは何か。,日本地図,
248,１９世紀前半、経済的に発展した江戸の庶民らが中心となり生まれた文化とは何か。,化政文化,
249,幕府の批判や世相の皮肉などを詠んだ歌を何というか。,川柳/狂歌,
250,貸本が流行する中、十返舎一九が書いた伊勢参りをする二人組の物語とは何か。,東海道中膝栗毛,
251,『東海道中膝栗毛』の作者は誰か。,十返舎一九,
252,貸本が流行する中、曲亭馬琴が書いた長編英雄譚とは何か。,南総里見八犬伝,
253,『南総里見八犬伝』の作者は誰か。,曲亭馬琴/態澤馬琴,滝沢馬琴
254,鈴木春信が始めたとされる。多色刷りの色版画を何というか。,錦絵,
255,錦絵の生みの親と言われる人物は誰か。,鈴木春信,
256,ぽっぴんを吹く女など美人画を得意とした浮世絵師とは誰か。,喜多川歌麿,
257,富嶽三十六景を描いた浮世絵師は誰か。,葛飾北斎,
258,葛飾北斎が描いた一連の富士山をえがいた作品を何というか。,富嶽三十六景,
259,日本橋から京都までの区間の宿場町などを描いた作品たちを何というか。,東海道五十三次,
260,東海道五十三次を描いた浮世絵師は誰か。,歌川広重/安藤広重,
261,各藩で藩士育成のために設けられた学校を何というか。,藩校,
262,大阪の医師で適塾を開いた人物は誰か。,尾形洪庵,
263,尾形洪庵が大阪で開いた私塾を何というか。,適塾,
264,シーボルトが開いた医学の私塾を何というか,鳴滝塾,
265,鳴滝塾を開いた、ドイツ人医師とは誰か。,シーボルト,
266,庶民の間でも教育への関心が高まり、読み・書き・そろばんなどの実用的な知識や技能を教えた場を何というか。,寺子屋,
267,長州藩で、倒幕の中心となった人々が育った吉田松陰が開いた私塾を何というか。,松下村塾,
268,長州藩で、松下村塾を開いた人物とは誰か。,吉田松陰,
269,化政文化の中で絵画的な作風の俳諧を多く読んだ俳人とは誰か。,与謝蕪村,
270,化政文化の中で農民の素朴な感情を表した作風の俳諧を多く読んだ俳人とは誰か。,小林一茶,
271,１９世紀初め、イギリスの軍艦が長崎の港に侵入し薪や水・食料を要求した出来事を何というか。,フェートン号事件,
272,１８２５年、外国船の接近が増える中で、外国船を砲撃して追い払うよう指示した命令を何というか。,異国船打払令,
273,幕府の対外政策を批判し、渡辺崋山や高野長英らが投獄されたできごとを何というか。,蛮社の獄,
274,幕府の対外政策を批判し、渡辺崋山とともに投獄された蘭学者とは誰か。,高野長英,
275,幕府の対外政策を批判し、高野長英とともに投獄された蘭学者とは誰か。,渡辺崋山,
276,天保のききんで全国的に餓死者が出る中、大阪でききんに苦しむ人々の救済を求めて蜂起した元役人とは誰か。,大塩平八郎,
277,天保のききんで全国的に餓死者が出る中、大阪でききんに苦しむ人々の救済を求めて蜂起した元役人が起こした反乱とは何か。,大塩平八郎の乱/大塩の乱,
278,１９世紀半ば、幕府の権力回復をめざして幕政改革を行った老中とは誰か。,水野忠邦,
279,水野忠邦が行った幕政改革を何というか。,天保の改革,
280,水野忠邦が行った江戸に出稼ぎにきていた農民を農村に返した命令を何というか。,人返令,
281,江戸や大阪周辺の旗本や御家人の領地を回収し幕領に組み込もうとした政策を何というか。,上知令,
282,アヘン戦争に敗れた清の状況をつかんだ幕府が、外国船の受け入れと水や薪のみ認めた政策を何というか。,薪水給与令,
283,高温を出し高品質の鉄を精錬できるようにした窯を何というか。,反射炉,
284,薩摩や長州、肥前など藩政改革に成功し、財政を回復し、軍備も整えることができた藩を何というか。,雄藩,
285,アメリカの商船が、日本の漂流民を日本に送ろうとするも砲撃で撃退されたできごとを何というか。,モリソン号事件,
